ID,Age,Income,Score,Purchases
1,56,37972.58,75.24,4
2,46,70760.24,79.16,4
3,32,71078.08,78.96,5
4,25,70884.89,9.12,4
5,38,36790.39,49.44,1
6,56,,5.76,4
7,36,42598.51,54.95,6
8,40,63847.44,44.15,3
9,28,75599.07,88.77,6
10,28,63103.84,35.09,2
11,41,50137.17,11.71,4
12,53,44516.91,14.3,7
13,57,59736.3,,6
14,41,31656.9,61.82,5
15,20,58045.04,10.11,4
16,39,36279.64,8.41,3
17,19,59308.22,70.1,3
18,41,47585.94,7.28,7
19,47,44176.03,82.19,7
20,55,36717.31,70.62,6
21,19,44648.82,8.13,6
22,38,58341.83,8.48,7
23,50,65657.91,98.66,8
24,29,57896.72,37.43,6
25,39,70458.3,37.06,3
26,42,88087.44,81.28,7
27,44,45132.64,94.72,5
28,59,46912.0,98.6,5
29,45,28399.38,75.34,7
30,33,67860.91,37.63,4
31,32,69490.95,8.35,9
32,20,36992.81,77.71,4
33,54,59264.61,55.84,5
34,24,68256.06,42.42,2
35,38,53394.32,90.64,6
36,26,62711.02,11.12,3
37,56,52622.5,49.26,6
38,35,31747.18,1.14,2
39,21,65740.21,46.87,3
40,42,69876.58,5.63,5
41,31,61017.52,11.88,3
42,26,35682.54,11.75,4
43,43,38732.31,64.92,5
44,19,33043.58,74.6,6
45,37,61549.66,58.34,3
46,45,69025.84,96.22,3
47,24,56367.29,37.49,4
48,25,64108.03,28.57,5
49,52,36985.38,86.86,4
50,31,52187.93,22.36,2
51,34,29451.93,96.32,6
52,53,38423.29,1.22,6
53,57,63180.1,96.99,8
54,21,46406.08,4.32,1
55,19,68140.73,89.11,6
56,23,58069.4,52.77,2
57,59,91016.33,99.3,5
58,21,51406.48,7.38,2
59,46,28903.92,55.39,6
60,35,49482.06,96.93,4
61,43,35554.77,52.31,3
62,51,64657.7,62.94,5
63,27,50629.7,69.57,6
64,53,47940.92,45.45,3
65,31,48138.01,62.76,4
66,48,61105.11,58.43,8
67,32,43213.07,90.12,4
68,25,61655.75,4.54,10
69,31,65683.57,28.1,4
70,40,44867.87,95.04,5
71,57,36109.3,89.03,10
72,38,42305.52,45.57,3
73,33,60651.64,62.01,4
74,35,51387.18,27.74,7
75,41,59451.12,18.81,5
76,43,76444.06,999.0,10
77,42,53464.31,35.34,4
78,58,37865.95,58.37,2
79,46,65861.35,7.77,3
80,32,50770.41,97.44,5
81,18,63086.71,98.62,8
82,42,65992.98,69.82,4
83,24,35614.88,53.61,3
84,26,70730.07,30.95,8
85,41,63576.83,81.38,6
86,18,40941.43,68.47,8
87,25,54566.74,16.26,3
88,41,53858.11,91.09,3
89,28,50358.98,82.25,5
90,34,63078.71,94.98,11
91,25,71560.34,72.57,7
92,52,50109.6,61.34,4
93,52,69963.22,41.82,3
94,50,64823.04,93.27,8
95,22,53484.44,86.61,8
96,59,52642.71,4.52,3
97,56,32711.52,2.64,3
98,58,27488.47,37.65,6
99,45,52475.34,81.06,2
100,24,37161.07,98.73,7
101,-1,49405.46,15.04,5
102,25,41980.06,59.41,5
103,29,23172.55,38.09,6
104,51,55359.57,96.99,1
105,50,43782.02,84.21,10
106,40,51202.98,83.83,2
107,41,36603.2,46.87,5
108,54,44977.74,41.48,4
109,52,73405.7,27.34,5
110,57,51928.27,5.64,4
111,39,58243.65,86.47,5
112,44,30936.92,81.29,6
113,52,85835.54,99.97,1
114,18,77651.21,99.66,3
115,52,70451.53,55.54,2
116,54,62431.49,76.9,5
117,31,50227.15,94.48,4
118,20,56631.11,84.96,7
119,18,65720.3,24.73,7
120,22,40571.45,45.05,2
121,43,43332.52,12.92,6
122,31,24963.01,95.41,7
123,56,38422.71,60.62,2
124,44,74919.53,22.86,7
125,26,44986.29,67.17,5
